,app_id,current_price,title,reviews_total,review_score,release_date,launch_price
0,10,7.19,Counter-Strike,137421.0,0.97,2000-11-01,9.99
1,20,3.99,Team Fortress Classic,5475.0,0.85,1999-04-01,4.99
2,30,3.99,Day of Defeat,3692.0,0.87,2003-05-01,4.99
3,40,3.99,Deathmatch Classic,1923.0,0.8,2001-06-01,4.99
4,50,3.99,Half-Life: Opposing Force,15498.0,0.95,1999-11-01,4.99
5,60,3.99,Ricochet,3650.0,0.8,2000-11-01,4.99
6,70,7.19,Half-Life,74591.0,0.96,1998-11-08,9.99
7,80,7.19,Counter-Strike: Condition Zero,16880.0,0.9,2004-03-01,9.99
8,130,3.99,Half-Life: Blue Shift,11586.0,0.91,2001-06-01,4.99
9,220,7.19,Half-Life 2,130902.0,0.97,2004-11-16,9.99
10,240,7.19,Counter-Strike: Source,105415.0,0.96,2004-11-01,9.99
11,280,7.19,Half-Life: Source,11521.0,0.7,2004-06-01,9.99
12,300,7.19,Day of Defeat: Source,13181.0,0.9,2010-07-12,9.99
13,320,3.99,Half-Life 2: Deathmatch,7928.0,0.89,2004-11-01,4.99
14,360,7.19,Half-Life Deathmatch: Source,3068.0,0.73,2006-05-01,9.99
15,380,5.79,Half-Life 2: Episode One,20756.0,0.95,2006-06-01,7.99
16,400,7.19,Portal,115384.0,0.98,2007-10-10,9.99
17,420,5.79,Half-Life 2: Episode Two,28004.0,0.97,2007-10-10,7.99
18,500,7.19,Left 4 Dead,41000.0,0.96,2008-11-17,9.99
19,550,7.19,Left 4 Dead 2,564441.0,0.97,2009-11-16,9.99
21,620,7.19,Portal 2,288308.0,0.98,2011-04-18,9.99
23,1002,5.99,Rag Doll Kung Fu,45.0,0.73,2005-10-12,9.99
24,1200,3.99,Red Orchestra: Ostfront 41-45,1303.0,0.85,2006-03-14,9.99
25,1250,14.99,Killing Floor,36263.0,0.96,2009-05-14,19.99
26,1300,7.19,SiN Episodes: Emergence,623.0,0.89,2006-05-10,9.99
27,1300,7.19,SiN Episodes: Emergence,623.0,0.89,2006-05-10,9.99
28,1300,7.19,SiN Episodes: Emergence,623.0,0.89,2006-05-10,9.99
30,1500,7.19,Darwinia,679.0,0.77,2005-07-14,9.99
31,1510,6.99,Uplink,1600.0,0.9,2006-08-23,9.99
32,1520,7.19,DEFCON,2930.0,0.86,2006-09-29,9.99
33,1530,7.19,Multiwinia,372.0,0.81,2008-09-19,9.99
34,1600,4.59,Dangerous Waters,300.0,0.78,2006-02-07,14.99
35,1610,6.99,Space Empires IV Deluxe,216.0,0.85,2006-02-07,9.99
36,1620,14.99,Jagged Alliance 2 Gold,0.0,0.0,2006-07-06,19.99
37,1620,14.99,Jagged Alliance 2 Gold,0.0,0.0,2006-07-06,19.99
38,1630,4.99,Disciples II: Rise of the Elves,1006.0,0.86,2006-07-06,6.99
39,1640,4.99,Disciples II: Gallean's Return,1155.0,0.81,2006-07-06,6.99
40,1670,3.99,Iron Warriors: T - 72 Tank Command,251.0,0.62,2006-07-26,4.99
41,1690,10.99,Space Empires V,365.0,0.71,2006-10-16,14.99
42,1700,2.99,Arx Fatalis,1641.0,0.87,2002-11-12,4.99
43,1900,3.99,Earth 2160,658.0,0.69,2006-04-01,4.99
44,1930,6.99,Two Worlds Epic Edition,2277.0,0.76,2009-04-30,9.99
45,2100,4.29,Dark Messiah of Might & Magic,6961.0,0.9,2006-10-25,9.99
46,2200,12.99,Quake III Arena,2677.0,0.95,1999-12-05,19.99
47,2210,12.99,Quake 4,2117.0,0.87,2005-10-18,19.99
48,2270,2.99,Wolfenstein 3D,2828.0,0.93,1994-08-03,4.99
49,2280,3.99,DOOM (1993),13337.0,0.96,1995-04-30,4.99
50,2290,3.99,Final DOOM,1001.0,0.6028,2007-08-03,4.99
